"Year","month","state","common_name","scientific_name","birds_spotted_day","longitude","latitude","birds_spotted_month"
2010,1,"Northland","Brown Teal","Anas chlorotis",15,174.3629837,-35.4340997,15
2010,1,"Northland","Caspian Tern","Hydroprogne caspia",1,174.05184,-36.33065,174
2010,1,"Northland","Caspian Tern","Hydroprogne caspia",1,174.0756655,-35.2585684,174
2010,1,"Northland","Caspian Tern","Hydroprogne caspia",1,174.0823174,-35.2625982,174
2010,1,"Northland","Caspian Tern","Hydroprogne caspia",1,174.1126478,-35.321936,174
2010,1,"Northland","Caspian Tern","Hydroprogne caspia",1,174.1126478,-35.321936,174
2010,1,"Northland","Caspian Tern","Hydroprogne caspia",1,174.1777,-36.3716,174
2010,1,"Northland","Caspian Tern","Hydroprogne caspia",2,174.1777,-36.3716,174
2010,1,"Northland","Caspian Tern","Hydroprogne caspia",4,174.4816446,-35.9966496,174
2010,1,"Northland","Caspian Tern","Hydroprogne caspia",10,173.804698,-36.0232623,174
2010,1,"Northland","Caspian Tern","Hydroprogne caspia",10,174.14,-36.3905,174
2010,1,"Northland","Caspian Tern","Hydroprogne caspia",25,173.804698,-36.0232623,174
2010,1,"Northland","Caspian Tern","Hydroprogne caspia",31,174.017,-36.2949,174
2010,1,"Northland","Caspian Tern","Hydroprogne caspia",34,174.017,-36.2949,174
2010,1,"Northland","Caspian Tern","Hydroprogne caspia",52,174.017,-36.2949,174
2010,1,"Northland","New Zealand Grebe","Poliocephalus rufopectus",2,174.05184,-36.33065,15
2010,1,"Northland","New Zealand Grebe","Poliocephalus rufopectus",4,174.0669644,-36.3432336,15
2010,1,"Northland","New Zealand Grebe","Poliocephalus rufopectus",9,174.0403032,-36.251671,15
2010,1,"Northland","Pacific Black Duck","Anas superciliosa",2,174.0533817,-35.2793374,7
2010,1,"Northland","Pacific Black Duck","Anas superciliosa",5,174.3629837,-35.4340997,7
2010,1,"Northland","Red-breasted Dotterel","Charadrius obscurus",1,173.9138317,-35.0324562,105
2010,1,"Northland","Red-breasted Dotterel","Charadrius obscurus",3,173.804698,-36.0232623,105
2010,1,"Northland","Red-breasted Dotterel","Charadrius obscurus",4,173.9138317,-35.0324562,105
2010,1,"Northland","Red-breasted Dotterel","Charadrius obscurus",4,174.017,-36.2949,105
2010,1,"Northland","Red-breasted Dotterel","Charadrius obscurus",4,174.0786266,-35.2656292,105
2010,1,"Northland","Red-breasted Dotterel","Charadrius obscurus",4,174.2380142,-35.2183469,105
2010,1,"Northland","Red-breasted Dotterel","Charadrius obscurus",5,174.017,-36.2949,105
2010,1,"Northland","Red-breasted Dotterel","Charadrius obscurus",5,174.1777,-36.3716,105
2010,1,"Northland","Red-breasted Dotterel","Charadrius obscurus",6,174.1777,-36.3716,105
2010,1,"Northland","Red-breasted Dotterel","Charadrius obscurus",7,174.14,-36.3905,105
2010,1,"Northland","Red-breasted Dotterel","Charadrius obscurus",8,174.2314911,-35.2215022,105
2010,1,"Northland","Red-breasted Dotterel","Charadrius obscurus",9,174.017,-36.2949,105
2010,1,"Northland","Red-breasted Dotterel","Charadrius obscurus",15,174.4816446,-35.9966496,105
2010,1,"Northland","Red-breasted Dotterel","Charadrius obscurus",30,174.4816446,-35.9966496,105
2010,1,"Northland","Wrybill","Anarhynchus frontalis",2,173.804698,-36.0232623,2
2010,2,"Northland","Caspian Tern","Hydroprogne caspia",1,174.0854073,-36.2277272,78
2010,2,"Northland","Caspian Tern","Hydroprogne caspia",1,174.0983677,-36.2475958,78
2010,2,"Northland","Caspian Tern","Hydroprogne caspia",1,174.1137743,-36.3258442,78
2010,2,"Northland","Caspian Tern","Hydroprogne caspia",1,174.1777,-36.3716,78
2010,2,"Northland","Caspian Tern","Hydroprogne caspia",1,174.1813821,-36.3627834,78
2010,2,"Northland","Caspian Tern","Hydroprogne caspia",2,174.1597366,-36.3100071,78
2010,2,"Northland","Caspian Tern","Hydroprogne caspia",2,174.1642535,-36.3126872,78
2010,2,"Northland","Caspian Tern","Hydroprogne caspia",3,174.1777,-36.3716,78
2010,2,"Northland","Caspian Tern","Hydroprogne caspia",4,174.1642535,-36.3126872,78
2010,2,"Northland","Caspian Tern","Hydroprogne caspia",10,174.1777,-36.3716,78
2010,2,"Northland","Caspian Tern","Hydroprogne caspia",52,174.017,-36.2949,78
2010,2,"Northland","New Zealand Grebe","Poliocephalus rufopectus",1,174.1343656,-36.321896,28
2010,2,"Northland","New Zealand Grebe","Poliocephalus rufopectus",2,174.1343656,-36.321896,28
2010,2,"Northland","New Zealand Grebe","Poliocephalus rufopectus",3,174.0403032,-36.251671,28
2010,2,"Northland","New Zealand Grebe","Poliocephalus rufopectus",6,174.1137743,-36.3258442,28
2010,2,"Northland","New Zealand Grebe","Poliocephalus rufopectus",16,174.142077,-36.3670297,28
2010,2,"Northland","Pacific Black Duck","Anas superciliosa",1,174.142077,-36.3670297,11
2010,2,"Northland","Pacific Black Duck","Anas superciliosa",10,173.5017157,-35.4148832,11
2010,2,"Northland","Red-breasted Dotterel","Charadrius obscurus",1,174.1777,-36.3716,12
2010,2,"Northland","Red-breasted Dotterel","Charadrius obscurus",2,174.017,-36.2949,12
2010,2,"Northland","Red-breasted Dotterel","Charadrius obscurus",2,174.0983677,-36.2475958,12
2010,2,"Northland","Red-breasted Dotterel","Charadrius obscurus",3,174.1777,-36.3716,12
2010,2,"Northland","Red-breasted Dotterel","Charadrius obscurus",4,174.1777,-36.3716,12
2010,2,"Northland","Tomtit","Petroica macrocephala",1,174.142077,-36.3670297,1
2010,3,"Northland","Caspian Tern","Hydroprogne caspia",1,174.0983677,-36.2475958,83
2010,3,"Northland","Caspian Tern","Hydroprogne caspia",1,174.1201472,-35.3114088,83
2010,3,"Northland","Caspian Tern","Hydroprogne caspia",2,174.1777,-36.3716,83
2010,3,"Northland","Caspian Tern","Hydroprogne caspia",2,174.1813821,-36.3627834,83
2010,3,"Northland","Caspian Tern","Hydroprogne caspia",3,174.1095203,-35.3057879,83
2010,3,"Northland","Caspian Tern","Hydroprogne caspia",3,174.1777,-36.3716,83
2010,3,"Northland","Caspian Tern","Hydroprogne caspia",3,174.2081451,-35.259427,83
2010,3,"Northland","Caspian Tern","Hydroprogne caspia",15,174.0842056,-36.2257193,83
2010,3,"Northland","Caspian Tern","Hydroprogne caspia",25,174.1012859,-35.3034983,83
2010,3,"Northland","Caspian Tern","Hydroprogne caspia",28,174.017,-36.2949,83
2010,3,"Northland","New Zealand Grebe","Poliocephalus rufopectus",2,173.8347,-35.5303,22
2010,3,"Northland","New Zealand Grebe","Poliocephalus rufopectus",2,174.132,-36.323,22
2010,3,"Northland","New Zealand Grebe","Poliocephalus rufopectus",18,174.1137743,-36.3258442,22
2010,3,"Northland","Pacific Black Duck","Anas superciliosa",2,174.1137743,-36.3258442,2
2010,3,"Northland","Red-breasted Dotterel","Charadrius obscurus",3,174.2380142,-35.2183469,8
2010,3,"Northland","Red-breasted Dotterel","Charadrius obscurus",5,174.017,-36.2949,8
2010,4,"Northland","Caspian Tern","Hydroprogne caspia",2,174.4855499,-35.9991185,13
2010,4,"Northland","Caspian Tern","Hydroprogne caspia",2,174.7458572,-35.891609,13
2010,4,"Northland","Caspian Tern","Hydroprogne caspia",3,172.96875,-34.5427624,13
2010,4,"Northland","Caspian Tern","Hydroprogne caspia",6,172.9838562,-34.7867392,13
2010,4,"Northland","New Zealand Grebe","Poliocephalus rufopectus",3,174.1302216,-36.3238215,42
2010,4,"Northland","New Zealand Grebe","Poliocephalus rufopectus",3,174.1343656,-36.321896,42
2010,4,"Northland","New Zealand Grebe","Poliocephalus rufopectus",3,174.1343656,-36.321896,42
2010,4,"Northland","New Zealand Grebe","Poliocephalus rufopectus",4,174.1472054,-36.3474162,42
2010,4,"Northland","New Zealand Grebe","Poliocephalus rufopectus",4,174.1472054,-36.3474162,42
2010,4,"Northland","New Zealand Grebe","Poliocephalus rufopectus",9,174.1264343,-36.3270889,42
2010,4,"Northland","New Zealand Grebe","Poliocephalus rufopectus",16,174.1396952,-36.363021,42
2010,4,"Northland","Pacific Black Duck","Anas superciliosa",2,172.9838562,-34.7867392,5
2010,4,"Northland","Pacific Black Duck","Anas superciliosa",3,174.0555382,-36.2772163,5
2010,4,"Northland","Red-breasted Dotterel","Charadrius obscurus",2,172.9838562,-34.7867392,28
2010,4,"Northland","Red-breasted Dotterel","Charadrius obscurus",4,174.4855499,-35.9991185,28
2010,4,"Northland","Red-breasted Dotterel","Charadrius obscurus",5,172.96875,-34.5427624,28
2010,4,"Northland","Red-breasted Dotterel","Charadrius obscurus",17,174.2314911,-35.2215022,28
2010,4,"Northland","Tomtit","Petroica macrocephala",1,174.2314911,-35.2215022,1
2010,4,"Northland","Wrybill","Anarhynchus frontalis",7,174.4855499,-35.9991185,7
2010,5,"Northland","Caspian Tern","Hydroprogne caspia",1,173.9647293,-36.0520135,25
2010,5,"Northland","Caspian Tern","Hydroprogne caspia",24,174.017,-36.2949,25
2010,5,"Northland","New Zealand Grebe","Poliocephalus rufopectus",1,174.1343656,-36.321896,5
2010,5,"Northland","New Zealand Grebe","Poliocephalus rufopectus",2,174.132,-36.323,5
2010,5,"Northland","New Zealand Grebe","Poliocephalus rufopectus",2,174.1343656,-36.321896,5
2010,6,"Northland","Caspian Tern","Hydroprogne caspia",1,173.7789917,-35.0058156,1
2010,6,"Northland","Red-breasted Dotterel","Charadrius obscurus",1,173.9141965,-35.0315953,13
2010,6,"Northland","Red-breasted Dotterel","Charadrius obscurus",12,173.7789917,-35.0058156,13
2010,7,"Northland","New Zealand Grebe","Poliocephalus rufopectus",3,173.3483148,-34.9004685,3
2010,7,"Northland","Tomtit","Petroica macrocephala",2,173.5337734,-35.6096067,2
2010,8,"Northland","Brown Teal","Anas chlorotis",2,174.4282258,-35.4302357,7
2010,8,"Northland","Brown Teal","Anas chlorotis",5,174.3629837,-35.4340997,7
2010,8,"Northland","Caspian Tern","Hydroprogne caspia",1,174.098947,-35.2942866,2
2010,8,"Northland","Caspian Tern","Hydroprogne caspia",1,174.4816446,-35.9966496,2
2010,8,"Northland","Pacific Black Duck","Anas superciliosa",4,174.4282258,-35.4302357,4
2010,8,"Northland","Red-breasted Dotterel","Charadrius obscurus",2,174.098947,-35.2942866,11
2010,8,"Northland","Red-breasted Dotterel","Charadrius obscurus",4,174.425962,-35.4274907,11
2010,8,"Northland","Red-breasted Dotterel","Charadrius obscurus",5,174.081135,-35.2766814,11
2010,9,"Northland","Caspian Tern","Hydroprogne caspia",1,174.0740347,-36.3902139,30
2010,9,"Northland","Caspian Tern","Hydroprogne caspia",2,173.804698,-36.0232623,30
2010,9,"Northland","Caspian Tern","Hydroprogne caspia",27,174.017,-36.2949,30
2010,9,"Northland","New Zealand Grebe","Poliocephalus rufopectus",2,174.0242314,-36.3235622,12
2010,9,"Northland","New Zealand Grebe","Poliocephalus rufopectus",2,174.0313447,-36.3213234,12
2010,9,"Northland","New Zealand Grebe","Poliocephalus rufopectus",2,174.1302216,-36.3238215,12
2010,9,"Northland","New Zealand Grebe","Poliocephalus rufopectus",6,174.0748501,-36.3834252,12
2010,9,"Northland","Pacific Black Duck","Anas superciliosa",2,174.0242314,-36.3235622,8
2010,9,"Northland","Pacific Black Duck","Anas superciliosa",2,174.0748501,-36.3834252,8
2010,9,"Northland","Pacific Black Duck","Anas superciliosa",4,174.0531778,-36.3823196,8
2010,9,"Northland","Red-breasted Dotterel","Charadrius obscurus",3,174.0242314,-36.3235622,9
2010,9,"Northland","Red-breasted Dotterel","Charadrius obscurus",6,174.017,-36.2949,9
2010,10,"Northland","Brown Teal","Anas chlorotis",9,174.365549,-35.442688,18
2010,10,"Northland","Brown Teal","Anas chlorotis",9,174.3656,-35.4427,18
2010,10,"Northland","Caspian Tern","Hydroprogne caspia",2,174.046129,-36.3708136,22
2010,10,"Northland","Caspian Tern","Hydroprogne caspia",2,174.0531349,-36.3763422,22
2010,10,"Northland","Caspian Tern","Hydroprogne caspia",2,174.0543795,-36.3700188,22
2010,10,"Northland","Caspian Tern","Hydroprogne caspia",3,174.006696,-35.193529,22
2010,10,"Northland","Caspian Tern","Hydroprogne caspia",3,174.006696,-35.193529,22
2010,10,"Northland","Caspian Tern","Hydroprogne caspia",3,174.4814301,-35.9944313,22
2010,10,"Northland","Caspian Tern","Hydroprogne caspia",3,174.4816446,-35.9966496,22
2010,10,"Northland","Caspian Tern","Hydroprogne caspia",4,174.0270424,-36.338394,22
2010,10,"Northland","New Zealand Grebe","Poliocephalus rufopectus",1,173.19761,-35.031993,25
2010,10,"Northland","New Zealand Grebe","Poliocephalus rufopectus",1,173.19761,-35.031993,25
2010,10,"Northland","New Zealand Grebe","Poliocephalus rufopectus",1,174.046129,-36.3708136,25
2010,10,"Northland","New Zealand Grebe","Poliocephalus rufopectus",2,174.0478349,-36.3211245,25
2010,10,"Northland","New Zealand Grebe","Poliocephalus rufopectus",2,174.0617609,-36.3613449,25
2010,10,"Northland","New Zealand Grebe","Poliocephalus rufopectus",3,174.0607309,-36.3682089,25
2010,10,"Northland","New Zealand Grebe","Poliocephalus rufopectus",3,174.0628338,-36.3684292,25
2010,10,"Northland","New Zealand Grebe","Poliocephalus rufopectus",4,174.0270424,-36.338394,25
2010,10,"Northland","New Zealand Grebe","Poliocephalus rufopectus",8,174.0352392,-36.3556769,25
2010,10,"Northland","Pacific Black Duck","Anas superciliosa",2,174.0270424,-36.338394,34
2010,10,"Northland","Pacific Black Duck","Anas superciliosa",2,174.0498304,-36.3254985,34
2010,10,"Northland","Pacific Black Duck","Anas superciliosa",2,174.0617609,-36.3613449,34
2010,10,"Northland","Pacific Black Duck","Anas superciliosa",2,174.3656,-35.4427,34
2010,10,"Northland","Pacific Black Duck","Anas superciliosa",3,173.727576,-35.802491,34
2010,10,"Northland","Pacific Black Duck","Anas superciliosa",3,174.0628338,-36.3684292,34
2010,10,"Northland","Pacific Black Duck","Anas superciliosa",4,174.365549,-35.442688,34
2010,10,"Northland","Pacific Black Duck","Anas superciliosa",8,173.644,-35.7268,34
2010,10,"Northland","Pacific Black Duck","Anas superciliosa",8,173.656526,-35.722717,34
2010,10,"Northland","Red-breasted Dotterel","Charadrius obscurus",1,174.3656,-35.4427,9
2010,10,"Northland","Red-breasted Dotterel","Charadrius obscurus",2,174.365549,-35.442688,9
2010,10,"Northland","Red-breasted Dotterel","Charadrius obscurus",3,174.4814301,-35.9944313,9
2010,10,"Northland","Red-breasted Dotterel","Charadrius obscurus",3,174.4816446,-35.9966496,9
2010,11,"Northland","Caspian Tern","Hydroprogne caspia",1,173.1189859,-34.8146467,21
2010,11,"Northland","Caspian Tern","Hydroprogne caspia",1,173.2561111,-35.0460192,21
2010,11,"Northland","Caspian Tern","Hydroprogne caspia",1,174.1800356,-36.3408138,21
2010,11,"Northland","Caspian Tern","Hydroprogne caspia",3,172.9460049,-34.5344902,21
2010,11,"Northland","Caspian Tern","Hydroprogne caspia",5,172.9193115,-34.5167057,21
2010,11,"Northland","Caspian Tern","Hydroprogne caspia",5,174.032321,-36.3386533,21
2010,11,"Northland","Caspian Tern","Hydroprogne caspia",5,174.0706015,-36.3572322,21
2010,11,"Northland","New Zealand Grebe","Poliocephalus rufopectus",6,174.1454029,-36.3651118,6
2010,11,"Northland","Pacific Black Duck","Anas superciliosa",3,174.032321,-36.3386533,11
2010,11,"Northland","Pacific Black Duck","Anas superciliosa",4,174.0727472,-36.3602735,11
2010,11,"Northland","Pacific Black Duck","Anas superciliosa",4,174.1343656,-36.321896,11
2010,11,"Northland","Red-breasted Dotterel","Charadrius obscurus",11,174.2314911,-35.2215022,11
2010,12,"Northland","Caspian Tern","Hydroprogne caspia",1,173.1695681,-35.0395121,18
2010,12,"Northland","Caspian Tern","Hydroprogne caspia",1,174.7024715,-35.9651818,18
2010,12,"Northland","Caspian Tern","Hydroprogne caspia",1,174.7044705,-35.9677931,18
2010,12,"Northland","Caspian Tern","Hydroprogne caspia",2,174.0066361,-35.1935907,18
2010,12,"Northland","Caspian Tern","Hydroprogne caspia",2,174.120512,-36.3187905,18
2010,12,"Northland","Caspian Tern","Hydroprogne caspia",4,174.3316877,-35.1651193,18
2010,12,"Northland","Caspian Tern","Hydroprogne caspia",7,174.3585205,-35.774337,18
2010,12,"Northland","New Zealand Grebe","Poliocephalus rufopectus",6,174.1199112,-36.3268815,12
2010,12,"Northland","New Zealand Grebe","Poliocephalus rufopectus",6,174.120512,-36.3187905,12
2010,12,"Northland","Pacific Black Duck","Anas superciliosa",7,174.1199112,-36.3268815,7
2010,12,"Northland","Red-breasted Dotterel","Charadrius obscurus",4,174.3316877,-35.1651193,4
2010,12,"Northland","Tomtit","Petroica macrocephala",1,173.52794,-35.60002,7
2010,12,"Northland","Tomtit","Petroica macrocephala",2,173.7936126,-35.211632,7
2010,12,"Northland","Tomtit","Petroica macrocephala",4,174.7118297,-35.9635632,7
2011,1,"Northland","Caspian Tern","Hydroprogne caspia",3,174.4816446,-35.9966496,3
2011,1,"Northland","Parkinson's Petrel","Procellaria parkinsoni",2,173.8233501,-34.9110841,12
2011,1,"Northland","Parkinson's Petrel","Procellaria parkinsoni",3,173.8841504,-34.8792597,12
2011,1,"Northland","Parkinson's Petrel","Procellaria parkinsoni",7,173.9673042,-34.7669993,12
2011,1,"Northland","Red-breasted Dotterel","Charadrius obscurus",3,173.4731001,-34.9942092,7
2011,1,"Northland","Red-breasted Dotterel","Charadrius obscurus",4,174.4816446,-35.9966496,7
2011,2,"Northland","Caspian Tern","Hydroprogne caspia",1,174.0983677,-36.2475958,1
2011,2,"Northland","New Zealand Grebe","Poliocephalus rufopectus",2,174.1302216,-36.3238215,8
2011,2,"Northland","New Zealand Grebe","Poliocephalus rufopectus",6,174.0403032,-36.251671,8
2011,2,"Northland","Red-breasted Dotterel","Charadrius obscurus",2,174.0983677,-36.2475958,2
2011,3,"Northland","Caspian Tern","Hydroprogne caspia",1,174.3793774,-35.7596771,1
2011,3,"Northland","Red-breasted Dotterel","Charadrius obscurus",2,174.5726681,-35.8368113,5
2011,3,"Northland","Red-breasted Dotterel","Charadrius obscurus",3,174.2304233,-35.2137282,5
2011,4,"Northland","Caspian Tern","Hydroprogne caspia",2,172.7573662,-34.5494644,2
2011,4,"Northland","New Zealand Storm-Petrel","Fregetta maoriana",1,175.0052032,-35.4794596,1
2011,4,"Northland","Parkinson's Petrel","Procellaria parkinsoni",1,175.0052032,-35.4794596,5
2011,4,"Northland","Parkinson's Petrel","Procellaria parkinsoni",4,172.518,-33.836,5
2011,4,"Northland","White-bellied Storm-Petrel","Fregetta grallaria",3,172.518,-33.836,3
2011,5,"Northland","Caspian Tern","Hydroprogne caspia",1,173.5357046,-34.9884664,4
2011,5,"Northland","Caspian Tern","Hydroprogne caspia",1,174.081135,-35.2766814,4
2011,5,"Northland","Caspian Tern","Hydroprogne caspia",2,173.7455606,-35.9525805,4
2011,5,"Northland","Tomtit","Petroica macrocephala",1,173.5386658,-35.6215819,1
2011,6,"Northland","Caspian Tern","Hydroprogne caspia",1,173.9759731,-36.1251194,2
2011,6,"Northland","Caspian Tern","Hydroprogne caspia",1,174.0983677,-36.2475958,2
2011,6,"Northland","New Zealand Grebe","Poliocephalus rufopectus",5,173.1804085,-34.9440096,13
2011,6,"Northland","New Zealand Grebe","Poliocephalus rufopectus",8,174.16008,-36.3708827,13
2011,6,"Northland","Red-breasted Dotterel","Charadrius obscurus",5,174.0983677,-36.2475958,5
2011,6,"Northland","Tomtit","Petroica macrocephala",1,174.3067431,-35.7137126,3
2011,6,"Northland","Tomtit","Petroica macrocephala",2,173.644,-35.7268,3
2011,9,"Northland","Red-breasted Dotterel","Charadrius obscurus",4,173.1446171,-34.8220829,4
2011,11,"Northland","Caspian Tern","Hydroprogne caspia",2,173.1502991,-34.7820065,2
2011,11,"Northland","Red-breasted Dotterel","Charadrius obscurus",1,173.489399,-34.9897848,9
2011,11,"Northland","Red-breasted Dotterel","Charadrius obscurus",8,173.1502991,-34.7820065,9
2011,12,"Northland","Brown Teal","Anas chlorotis",16,174.3656,-35.4427,16
2011,12,"Northland","Caspian Tern","Hydroprogne caspia",1,174.596,-36.0883,9
2011,12,"Northland","Caspian Tern","Hydroprogne caspia",3,173.9721441,-36.0702512,9
2011,12,"Northland","Caspian Tern","Hydroprogne caspia",5,174.4803679,-35.9970635,9
2011,12,"Northland","New Zealand Grebe","Poliocephalus rufopectus",2,174.596,-36.0883,2
2011,12,"Northland","Pacific Black Duck","Anas superciliosa",1,173.9642696,-35.2024274,27
2011,12,"Northland","Pacific Black Duck","Anas superciliosa",6,174.3656,-35.4427,27
2011,12,"Northland","Pacific Black Duck","Anas superciliosa",20,174.596,-36.0883,27
2011,12,"Northland","Red-breasted Dotterel","Charadrius obscurus",5,174.4803679,-35.9970635,27
2011,12,"Northland","Red-breasted Dotterel","Charadrius obscurus",10,174.4816446,-35.9966496,27
2011,12,"Northland","Red-breasted Dotterel","Charadrius obscurus",12,174.6111739,-36.1085898,27
2011,12,"Northland","Tomtit","Petroica macrocephala",1,173.52808,-35.6002361,6
2011,12,"Northland","Tomtit","Petroica macrocephala",1,173.5386658,-35.6215819,6
2011,12,"Northland","Tomtit","Petroica macrocephala",4,173.6366773,-35.6172249,6
2012,1,"Northland","Brown Teal","Anas chlorotis",5,174.1923201,-35.2188202,30
2012,1,"Northland","Brown Teal","Anas chlorotis",25,174.3629837,-35.4340997,30
2012,1,"Northland","Caspian Tern","Hydroprogne caspia",1,173.4252834,-34.9841417,7
2012,1,"Northland","Caspian Tern","Hydroprogne caspia",6,173.7533791,-35.029628,7
2012,1,"Northland","New Zealand Storm-Petrel","Fregetta maoriana",5,173.8120782,-34.9261234,5
2012,1,"Northland","Parkinson's Petrel","Procellaria parkinsoni",90,173.8120782,-34.9261234,90
2012,1,"Northland","Red-breasted Dotterel","Charadrius obscurus",1,174.4581234,-35.9825089,36
2012,1,"Northland","Red-breasted Dotterel","Charadrius obscurus",3,174.1923201,-35.2188202,36
2012,1,"Northland","Red-breasted Dotterel","Charadrius obscurus",12,173.4252834,-34.9841417,36
2012,1,"Northland","Red-breasted Dotterel","Charadrius obscurus",20,174.4581234,-35.9825089,36
2012,1,"Northland","Tomtit","Petroica macrocephala",1,174.0686874,-35.2118023,23
2012,1,"Northland","Tomtit","Petroica macrocephala",1,174.2695742,-35.2560923,23
2012,1,"Northland","Tomtit","Petroica macrocephala",4,173.7520552,-35.2520675,23
2012,1,"Northland","Tomtit","Petroica macrocephala",17,173.7520552,-35.2520675,23
2012,2,"Northland","Brown Teal","Anas chlorotis",1,174.0786266,-35.2656292,1
2012,2,"Northland","Caspian Tern","Hydroprogne caspia",1,174.0786266,-35.2656292,7
2012,2,"Northland","Caspian Tern","Hydroprogne caspia",2,174.1777,-36.3716,7
2012,2,"Northland","Caspian Tern","Hydroprogne caspia",4,174.1467762,-36.3002543,7
2012,2,"Northland","New Zealand Grebe","Poliocephalus rufopectus",1,173.34957,-34.9003014,13
2012,2,"Northland","New Zealand Grebe","Poliocephalus rufopectus",1,174.1302216,-36.3238215,13
2012,2,"Northland","New Zealand Grebe","Poliocephalus rufopectus",11,174.0403032,-36.251671,13
2012,2,"Northland","Pacific Black Duck","Anas superciliosa",1,174.0786266,-35.2656292,1
2012,2,"Northland","Red-breasted Dotterel","Charadrius obscurus",1,174.0786266,-35.2656292,16
2012,2,"Northland","Red-breasted Dotterel","Charadrius obscurus",2,174.1777,-36.3716,16
2012,2,"Northland","Red-breasted Dotterel","Charadrius obscurus",6,174.1467762,-36.3002543,16
2012,2,"Northland","Red-breasted Dotterel","Charadrius obscurus",7,174.4816446,-35.9966496,16
2012,2,"Northland","Wrybill","Anarhynchus frontalis",5,173.3862305,-34.9471615,5
2012,3,"Northland","Brown Teal","Anas chlorotis",12,174.3656,-35.4427,40
2012,3,"Northland","Brown Teal","Anas chlorotis",28,174.3656,-35.4427,40
2012,3,"Northland","Caspian Tern","Hydroprogne caspia",3,173.1671906,-35.0378676,3
2012,3,"Northland","New Zealand Storm-Petrel","Fregetta maoriana",1,172.045603,-34.1787281,15
2012,3,"Northland","New Zealand Storm-Petrel","Fregetta maoriana",1,172.303363,-33.8470602,15
2012,3,"Northland","New Zealand Storm-Petrel","Fregetta maoriana",3,172.9574633,-34.2518697,15
2012,3,"Northland","New Zealand Storm-Petrel","Fregetta maoriana",4,175.0052032,-35.4794596,15
2012,3,"Northland","New Zealand Storm-Petrel","Fregetta maoriana",6,173.3797503,-34.4896953,15
2012,3,"Northland","Parkinson's Petrel","Procellaria parkinsoni",2,171.668432,-33.589869,427
2012,3,"Northland","Parkinson's Petrel","Procellaria parkinsoni",15,172.045603,-34.1787281,427
2012,3,"Northland","Parkinson's Petrel","Procellaria parkinsoni",15,172.303363,-33.8470602,427
2012,3,"Northland","Parkinson's Petrel","Procellaria parkinsoni",22,172.1653329,-34.161608,427
2012,3,"Northland","Parkinson's Petrel","Procellaria parkinsoni",25,175.0052032,-35.4794596,427
2012,3,"Northland","Parkinson's Petrel","Procellaria parkinsoni",58,171.4166667,-33.1333333,427
2012,3,"Northland","Parkinson's Petrel","Procellaria parkinsoni",90,174.5,-35.0833333,427
2012,3,"Northland","Parkinson's Petrel","Procellaria parkinsoni",100,172.9574633,-34.2518697,427
2012,3,"Northland","Parkinson's Petrel","Procellaria parkinsoni",100,173.3797503,-34.4896953,427
2012,3,"Northland","Red-breasted Dotterel","Charadrius obscurus",2,173.0783772,-34.7180875,21
2012,3,"Northland","Red-breasted Dotterel","Charadrius obscurus",4,173.3821071,-34.8679611,21
2012,3,"Northland","Red-breasted Dotterel","Charadrius obscurus",15,174.4816446,-35.9966496,21
2012,3,"Northland","Wrybill","Anarhynchus frontalis",6,173.3821071,-34.8679611,6
2012,4,"Northland","Caspian Tern","Hydroprogne caspia",2,174.0909131,-35.2807593,2
2012,4,"Northland","Red-breasted Dotterel","Charadrius obscurus",40,174.0909131,-35.2807593,40
2012,4,"Northland","Wrybill","Anarhynchus frontalis",9,173.3862305,-34.9471615,9
2012,7,"Northland","Caspian Tern","Hydroprogne caspia",3,174.081135,-35.2766814,3
2012,7,"Northland","Red-breasted Dotterel","Charadrius obscurus",4,174.081135,-35.2766814,4
2012,8,"Northland","Pacific Black Duck","Anas superciliosa",2,174.4265011,-35.4429646,2
2012,8,"Northland","Red-breasted Dotterel","Charadrius obscurus",6,174.4265011,-35.4429646,6
2012,11,"Northland","Caspian Tern","Hydroprogne caspia",1,174.4788352,-35.9957141,1
2012,11,"Northland","New Zealand Storm-Petrel","Fregetta maoriana",1,174.3450983,-34.9951056,1
2012,11,"Northland","Red-breasted Dotterel","Charadrius obscurus",8,174.4788352,-35.9957141,8
2012,12,"Northland","Brown Teal","Anas chlorotis",2,174.4838762,-35.6286633,2
2012,12,"Northland","Caspian Tern","Hydroprogne caspia",2,174.081135,-35.2766814,2
2012,12,"Northland","Tomtit","Petroica macrocephala",18,174.2684197,-35.257697,18
2013,1,"Northland","Brown Teal","Anas chlorotis",4,172.7151954,-34.4370003,4
2013,1,"Northland","Caspian Tern","Hydroprogne caspia",2,174.4816446,-35.9966496,6
2013,1,"Northland","Caspian Tern","Hydroprogne caspia",4,172.7151954,-34.4370003,6
2013,1,"Northland","Pacific Black Duck","Anas superciliosa",2,172.7151954,-34.4370003,2
2013,2,"Northland","Brown Teal","Anas chlorotis",25,174.36555,-35.44267,62
2013,2,"Northland","Brown Teal","Anas chlorotis",37,174.428703,-35.431071,62
2013,2,"Northland","Caspian Tern","Hydroprogne caspia",1,174.0786266,-35.2656292,9
2013,2,"Northland","Caspian Tern","Hydroprogne caspia",1,174.09634,-35.28459,9
2013,2,"Northland","Caspian Tern","Hydroprogne caspia",1,174.41339,-35.440818,9
